Path,Sample,ReferenceGenome,ProviderName,Subject,Outgroup
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE2_C.666,Ypestis_ASM906v1,0.PE2_C.666,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4_5307.Gis,Ypestis_ASM906v1,0.PE4_5307.Gis,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4_A.1804,Ypestis_ASM906v1,0.PE4_A.1804,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4_A.1807,Ypestis_ASM906v1,0.PE4_A.1807,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4_A.513,Ypestis_ASM906v1,0.PE4_A.513,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4Aa_12,Ypestis_ASM906v1,0.PE4Aa_12,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4Ab_9,Ypestis_ASM906v1,0.PE4Ab_9,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4Ca_CMCCN010025,Ypestis_ASM906v1,0.PE4Ca_CMCCN010025,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4Cc_CMCC18019,Ypestis_ASM906v1,0.PE4Cc_CMCC18019,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4Cd_CMCC93014,Ypestis_ASM906v1,0.PE4Cd_CMCC93014,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4Ce_CMCC91090,Ypestis_ASM906v1,0.PE4Ce_CMCC91090,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4_I.3134,Ypestis_ASM906v1,0.PE4_I.3134,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4_I.3455,Ypestis_ASM906v1,0.PE4_I.3455,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE4_M0000002,Ypestis_ASM906v1,0.PE4_M0000002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE5_I.2239,Ypestis_ASM906v1,0.PE5_I.2239,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE5_I.2422a,Ypestis_ASM906v1,0.PE5_I.2422a,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE5_I.3189,Ypestis_ASM906v1,0.PE5_I.3189,0,0
